routeShortName,tripPatternId,scheduledRuntimeMinutes,percentile,observedRuntimeSeconds,fromStop,toStop
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,741.796875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,752.046875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,728.46875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,698.6171875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,680.47265625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,722.15625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,705.68359375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,698.34375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,721.1484375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,665.375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,738.4296875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,663.6953125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,644.3515625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,609.765625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,622.8359375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,678,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,598.59375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,566.6171875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,538.140625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,579.9140625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,574.9140625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,562.625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,517.3359375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,591.3828125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,560.1171875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,510.4609375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,513.4453125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,497.28125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,483.828125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,507.9453125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,488.8984375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,582.26953125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,487.291015625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,694.595703125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,550.666015625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,598.923828125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,538.029296875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,691.283203125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,553.392578125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,717.25390625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,547.984375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,691.92578125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,600.32421875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,690.56640625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,603.33984375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,701.39453125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,601.95703125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,684.01171875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,635.88671875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,12,60,781.90625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,637.78125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,12,60,697.76953125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,635.015625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,12,60,716.83203125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,665.52734375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,12,60,736.62890625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,8,60,620.84375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,691.890625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,660.88671875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,603.8203125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,716.9296875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,677.28125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,659.91015625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,747.02734375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,690.83203125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,723.51171875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,12,60,707.7734375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,656.0703125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,12,60,677.3203125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,673.3828125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,648.5625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,699.453125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,693.74609375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,645.72265625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,614.89453125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,648.92578125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,591.82421875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,632.1328125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,688.359375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,634.015625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,595.75,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,612.078125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,629.8359375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,605.078125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,601.2734375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,606.078125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,631.8515625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,612.9296875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,589.609375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,625.640625,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,596.8046875,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,582.53125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,589.7109375,High & Moore,McLaughlin Dr (UCSC - Science Hill)
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,565.5703125,High & Moore,McLaughlin Dr (UCSC - Science Hill)
